id,age,firstName,lastName,country,sex,numberofkids,revenue,leavingincity,likemusic,likecinema,bankbalance,happinnessratio,height,weight
45381133769,18,Lesly,Forgue,Anguilla,male,0,1297.47,Yes,No,No,32113.76,0.49,130,37
71907667700,42,Manuel,Magness,Antarctica,famale,0,46,No,No,Yes,4309.4,0.12,159,89
56375652054,26,Kaitlyn,Affleck,Turkey,famale,1,1758.8,No,No,No,10019.21,0.6,150,54
77355922059,35,Oliver,Sopher,Monaco,male,2,3720.59,No,Yes,Yes,50389.2,0.64,125,71
30574962396,35,Jane,Awbrey,Peru,famale,1,1352.47,No,Yes,No,25566.16,0.68,138,33
37454640430,63,Nathaniel,Goede,Poland,famale,0,1328.07,Yes,Yes,Yes,8350.77,0.91,161,75
65966225883,51,Elan,Steckler,Estonia,male,1,3671.61,Yes,No,No,14228.04,0.26,120,42
82120826918,28,Noah,Nevarez,Christmas Island,famale,0,4373.03,No,Yes,No,31192.41,0.58,177,68
82745516860,48,Ariel,Belyea,Somalia,male,1,1814.67,No,No,Yes,41469.22,0.65,182,84
13359039689,36,Adrian,Eide,Montserrat,male,1,1378.07,Yes,No,No,25601.62,0.73,148,46
51172143132,37,Annabelle,Morningstar,Mayotte,famale,2,1546.24,No,No,No,41073.71,0.33,135,80
28663999479,35,Alani,Vizcarrondo,Chile,male,3,141.79,No,No,No,1.83,0.03,165,69
21726335702,37,Chaya,Larison,Saint Kitts And Nevis,male,2,1062.01,Yes,Yes,No,51684.56,0.67,174,78
47064002536,52,Addison,Switzer,Nicaragua,famale,1,3628.87,Yes,No,No,12716.1,0.55,145,33
40394554186,54,Elliott,Hopwood,Antarctica,male,4,3912.64,Yes,Yes,Yes,13643.61,0.44,150,30
58918240152,43,Giovanni,Tremaine,Mali,male,1,1916.98,Yes,Yes,No,56842.89,0.98,131,30
38852406096,52,Yael,Macnamara,USA,famale,0,3635.56,Yes,No,No,43796.74,0.85,150,89
54023124355,46,Isla,Rocke,Ethiopia,male,3,119.82,No,No,No,54511.74,0.38,179,46
18312082788,37,Amy,Tompson,Tunisia,famale,1,525.21,Yes,No,No,31200.01,0.42,124,80
56702930133,24,Robert,Bellavance,Guinea,male,3,35.27,No,Yes,Yes,41928.05,0.34,182,37
15414217085,52,Mauricio,Fraley,Bouvet Island,male,2,2759.52,No,No,No,8592.56,0.38,144,36
27247232491,55,Mason,Escudero,Fiji,famale,0,2914.98,No,No,No,54903.47,0,160,54
48587260090,24,Ana,Hanchett,Micronesia,famale,0,3704.2,No,Yes,No,39565.62,0.38,120,79
14988008940,48,Giuliana,Amara,New Caledonia,male,0,4129.62,Yes,Yes,Yes,15378.2,0.85,128,65
92486304013,40,Autumn,Inlow,Peru,male,0,2182.75,Yes,No,No,55217.48,0.43,131,64
81315819680,34,Nathan,Reichel,Pakistan,male,0,1943.63,Yes,No,No,7053.83,0.31,162,31
78550105956,49,Eva,Caouette,Italy,male,1,1612.3,Yes,Yes,No,56168.04,0.76,160,67
23758341630,46,Noemi,Cutillo,Samoa,male,4,4493.48,Yes,Yes,No,2095.12,0.63,164,73
75142877490,29,Sean,Horowitz,Jamaica,famale,2,1129.73,Yes,No,No,37690.27,0.06,122,44
40866830362,45,Max,Lomba,Uzbekistan,male,0,1478.03,Yes,Yes,No,41067.52,0.32,137,52
30858354768,49,Nathaniel,Whitson,Monaco,male,0,3548.64,No,No,No,56747.72,0.41,140,77
60546158505,57,Kyle,Fruge,Albania,male,1,2149.65,Yes,No,No,36618.76,0.09,145,88
13155297708,48,Jayda,Berkman,Norway,famale,3,4841.2,Yes,Yes,No,15466.36,0.62,147,88
59929326825,69,Cristian,Varble,USA,famale,1,1012.66,No,No,No,11585.93,0.18,120,48
23067511138,44,Chavy,Dawson,Israel,male,0,2298.92,No,Yes,Yes,50819.73,0.77,187,52
83218512068,60,Lukas,Darley,Kiribati,famale,4,354.2,Yes,Yes,No,14069.96,0.37,188,60
97329948802,65,Elisheva,Sidney,Latvia,famale,2,799.37,Yes,Yes,No,49498.68,0.93,179,72
91573221335,29,Yaretzi,Grange,Switzerland,famale,1,808.39,Yes,Yes,No,56292.59,0.04,164,76
75037970501,24,Zalmen,Vertrees,Mali,famale,0,4330.62,Yes,No,No,41433.39,0.51,165,65
38874120523,32,Aria,Trovato,Lithuania,male,2,2302.82,No,Yes,No,12744.17,0.92,132,39
16099919967,61,Cecelia,Newberg,Poland,famale,0,2581.23,Yes,No,No,54225.06,1,178,66
82157855481,63,Zachary,Engler,Norfolk Island,male,0,1511.32,No,No,No,11308.44,0.01,156,47
87981801960,63,Vincent,Doris,Colombia,male,1,2422.71,Yes,No,No,54960.97,0.95,155,45
31355155787,34,Julia,Detter,Guyana,male,4,3628.84,No,No,No,47701.42,0,157,86
81335915260,28,Kaylee,Mabon,USA,male,1,2414.53,Yes,No,No,2645.91,0.41,133,42
18113475777,47,Alice,Cihak,Philippines,male,0,1306.26,Yes,Yes,No,47972.63,0.49,137,85
99464910400,36,Caleb,Bamburg,Viet Nam,male,1,669.84,Yes,No,Yes,634.49,0.38,139,76
14000148685,30,Sasha,Agcaoili,Pakistan,male,3,1004.32,No,No,No,48558.55,0.56,183,62
36837912091,18,David,Pitner,Nicaragua,famale,2,3931.06,No,Yes,No,34020.93,0.64,175,61
11612467499,64,Luca,Kau,Montserrat,male,5,4053.05,Yes,No,No,28730.53,0.79,166,70
87216668383,64,Briana,Dekker,Mali,male,2,4571.48,No,No,No,6134.97,0.18,129,84
36747377027,21,Zev,Turberville,Afghanistan,famale,4,316.52,Yes,Yes,No,125.95,1,157,62
95451180095,55,Bruchy,Sellers,Slovenia,male,4,4376.79,No,No,No,-846.56,0.7,153,57
33425707122,33,Harrison,Arnott,Bulgaria,male,1,4655,Yes,Yes,No,44340.29,0.19,137,74
13858533188,41,Kingsley,Schaus,Suriname,male,0,1489.1,No,No,No,33770.65,0.1,170,55
55624177824,18,Kamiyah,Jindra,Colombia,famale,5,3337.71,No,No,No,2975.11,0.62,125,88
53848325041,67,Rachel,Cabe,Spain,male,1,2520.66,No,No,No,22490.99,0.27,148,71
56765364739,48,Derrick,Maulding,Botswana,male,0,97.32,Yes,Yes,No,51108.92,0.48,129,42
41153604533,41,Angel,Ikner,Haiti,famale,1,1031.92,No,Yes,No,46164.65,0.24,127,70
52235110020,51,Madelyn,Iliff,Djibouti,famale,0,4333.99,Yes,No,No,11338.86,0.13,138,70
32163928804,54,Omar,Slavens,Rwanda,famale,0,1413.55,Yes,Yes,No,52804.62,0.27,176,86
43570015734,26,Olive,Bosworth,Puerto Rico,male,0,4529.24,Yes,Yes,No,56610.76,0.96,171,79
68633969773,67,Kingsley,Feld,Qatar,famale,1,1906.66,No,No,No,57472.27,0.68,164,70
91514125353,52,Lydia,Riggleman,Mayotte,male,0,1863.23,Yes,No,No,35731.99,0.34,152,53
42507098353,42,Cameron,Kohlman,Germany,famale,4,2992.4,Yes,Yes,No,22045.17,0.2,124,79
24753965257,38,Lawrence,Divelbiss,Haiti,famale,4,1573.02,Yes,No,No,10271.79,0.28,134,46
18258530575,43,Bracha,Roesner,Romania,male,1,4339.42,Yes,Yes,No,42692.27,0.34,123,84
98352681904,34,Jaden,Reim,Tonga,male,1,1498.1,No,No,Yes,6098.85,0.07,143,58
55204205399,38,Amaya,Abood,Algeria,male,0,1653.95,No,No,No,19229.33,0.78,189,90
98000249895,24,Theodore,Lannen,Singapore,famale,3,3468.07,Yes,No,No,40839.48,0.57,128,40
99818368617,48,Zoey,Eames,Palau,famale,4,3577.04,No,No,No,52744.61,0.39,154,74
25542188374,39,Rebecca,Bostick,Latvia,male,2,26.46,Yes,Yes,No,11399.96,0.3,128,76
78423942370,21,Mauricio,Fenner,Venezuela,famale,1,2505,Yes,Yes,No,57778.46,0.85,141,36
81863387938,20,Emilia,Cotterman,Guyana,famale,0,3309.1,No,No,No,38263.04,0.63,126,51
47067685355,68,Phoebe,Krejci,Norfolk Island,male,1,1395.82,Yes,Yes,No,47004.8,0.91,175,34
93455364225,25,Aisha,Claybrook,Somalia,famale,0,606.34,Yes,Yes,No,28769.3,0.06,180,52
26408478338,23,Lucille,Colletti,Tajikistan,famale,0,1322.13,Yes,No,No,50026.13,0.29,190,74
33116036634,37,Alma,Ressel,Singapore,male,0,4667.42,Yes,Yes,No,47006.98,0.27,145,41
49617543090,52,Emma,Coby,Dominican Republic,famale,3,1452.22,No,Yes,No,52546.3,0.21,180,53
14224373517,38,Aicha,Shabazz,Chile,male,1,3647.95,No,No,No,40828.74,0.28,180,50
31726538210,29,Gemma,Kan,Niger,famale,0,3401.45,No,No,No,54083.85,0.5,175,76
70487553343,27,Scarlett,Fermin,Liberia,famale,0,4405.56,Yes,Yes,No,58899.85,0.42,120,58
85692851047,63,Naftuli,Zollinger,Netherlands Antilles,male,3,2295.55,Yes,No,Yes,43922.12,0.5,144,44
52005985924,27,Daniel,Gantz,Ireland,male,2,14.1,Yes,No,No,49891.81,0.88,142,90
